   0.0 TEL | Telepresence 0.108 launched at Wed Oct 14 09:10:52 2020
   0.0 TEL |   /usr/bin/telepresence --new-deployment tele --method vpn-tcp --expose 10000 --run bash -c 'INSIDEVAR=insidevalue env'
   0.0 TEL | uname: uname_result(system='Linux', node='dkarakasilis-eirini-station', release='5.4.0-1025-gcp', version='#25-Ubuntu SMP Fri Sep 11 15:02:15 UTC 2020', machine='x86_64', processor='x86_64')
   0.0 TEL | Platform: linux
   0.0 TEL | WSL: False
   0.0 TEL | Python 3.8.5 (default, Jul 28 2020, 12:59:40)
   0.0 TEL | [GCC 9.3.0]
   0.0 TEL | BEGIN SPAN main.py:40(main)
   0.0 TEL | BEGIN SPAN startup.py:83(set_kube_command)
   0.0 TEL | Found kubectl -> /usr/local/bin/kubectl
   0.0 TEL | [1] Capturing: kubectl config current-context
   0.1 TEL | [1] captured in 0.05 secs.
   0.1 TEL | [2] Capturing: kubectl --context kind-test version --short
   0.1 TEL | [2] captured in 0.06 secs.
   0.1 TEL | [3] Capturing: kubectl --context kind-test config view -o json
   0.2 TEL | [3] captured in 0.05 secs.
   0.2 TEL | [4] Capturing: kubectl --context kind-test api-versions
   0.2 TEL | [4] captured in 0.07 secs.
   0.2 TEL | Command: kubectl 1.18.9
   0.2 TEL | Context: kind-test, namespace: default, version: 1.18.2
   0.2 TEL | Looks like we're in a local VM, e.g. minikube.
   0.2 TEL | END SPAN startup.py:83(set_kube_command)    0.2s
   0.2 >>> | Using a Pod instead of a Deployment for the Telepresence proxy. If you experience problems, please file an issue!
   0.2 >>> | Set the environment variable TELEPRESENCE_USE_DEPLOYMENT to any non-empty value to force the old behavior, e.g.,
   0.2 >>> |     env TELEPRESENCE_USE_DEPLOYMENT=1 telepresence --run curl hello
   0.2 >>> | 
   0.2 TEL | Found ssh -> /usr/bin/ssh
   0.2 TEL | [5] Capturing: ssh -V
   0.2 TEL | [5] captured in 0.00 secs.
   0.2 TEL | Found bash -> /usr/bin/bash
   0.2 TEL | Found sshuttle-telepresence -> /usr/libexec/sshuttle-telepresence
   0.2 TEL | Found conntrack -> /usr/sbin/conntrack
   0.2 TEL | Found iptables -> /usr/sbin/iptables
   0.2 TEL | Found sudo -> /usr/bin/sudo
   0.2 TEL | [6] Running: sudo -n echo -n
   0.3 TEL | [6] ran in 0.01 secs.
   0.3 TEL | [7] Capturing: sudo iptables --list
   0.3 TEL | [7] captured in 0.01 secs.
   0.3 >>> | Starting proxy with method 'vpn-tcp', which has the following limitations: All processes are affected, only one telepresence can run per machine, and you can't use other VPNs. You may need to add cloud hosts and headless services with --also-proxy. For a full list of method limitations see https://telepresence.io/reference/methods.html
   0.3 TEL | Found sshfs -> /usr/bin/sshfs
   0.3 TEL | Found fusermount -> /usr/bin/fusermount
   0.3 >>> | Volumes are rooted at $TELEPRESENCE_ROOT. See https://telepresence.io/howto/volumes.html for details.
   0.3 TEL | [8] Running: kubectl --context kind-test --namespace default get pods telepresence-connectivity-check --ignore-not-found
   0.5 TEL | [8] ran in 0.24 secs.
   0.9 TEL | Scout info: {'latest_version': '0.108', 'application': 'telepresence', 'notices': []}
   0.9 >>> | Starting network proxy to cluster using new Pod tele
   0.9 TEL | [9] Running: kubectl --context kind-test --namespace default create -f -
   1.0   9 | pod/tele created
   1.0   9 | service/tele created
   1.0 TEL | [9] ran in 0.17 secs.
   1.0 TEL | BEGIN SPAN remote.py:109(wait_for_pod)
   1.0 TEL | [10] Running: kubectl --context kind-test --namespace default wait --for=condition=ready --timeout=60s pod/tele
   1.7  10 | pod/tele condition met
   1.7 TEL | [10] ran in 0.63 secs.
   1.7 TEL | [11] Capturing: kubectl --context kind-test --namespace default get pod tele -o json
   1.8 TEL | [11] captured in 0.09 secs.
   1.8 TEL | END SPAN remote.py:109(wait_for_pod)    0.7s
   1.8 TEL | BEGIN SPAN connect.py:37(connect)
   1.8 TEL | [12] Launching kubectl logs: kubectl --context kind-test --namespace default logs -f tele --container telepresence --tail=10
   1.8 TEL | [13] Launching kubectl port-forward: kubectl --context kind-test --namespace default port-forward tele 44987:8022
